Time,12:15,12:23,12:27,12:30,12:31,12:40,12:45,12:52,12:58,13:02,13:12,13:21,13:22,13:30,13:34,13:37,13:42,13:50,13:53,13:57,13:58,14:09,14:10,14:32,14:37,14:40,14:52,15:00,15:12,15:14,15:15,15:19,15:24,15:25,15:32,15:36,15:41,15:47,15:51,15:55,15:58,16:02,16:07,16:16,16:17,16:22,16:23,16:28,16:30
name1,0,1,1,1,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,4,4,4,5,5,5,6,6,6,6,7,7,6,7,7,8,7,7,6,5,5,5,5,4,5,4,3,2,1,1
name2,0,0,1,1,1,1,2,2,2,2,3,4,4,4,5,5,5,5,4,4,4,3,3,4,3,3,4,4,4,4,5,5,5,5,5,5,6,6,7,6,5,5,6,6,6,6,6,6,6
name3,0,0,0,1,1,2,2,3,3,4,4,4,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,4,4,5,5,4,4,4,4,4,4,5,5,6,6,5,6,7,7,8,8
name4,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,3,4,3,4,3,4,4,4,5,5,5,5,5,5,6,6,6
